"ID";"Description";"Country";"SkillDescription";"Description";"Amount";"Rating"
"324";"Sydney";"Australia";"php";"program_languages";4;0,0392157
"325";"Sydney";"Australia";"pig";"bigdata_tool";3;0,0294118
"326";"Sydney";"Australia";"python";"program_languages";40;0,392157
"327";"Sydney";"Australia";"r";"program_languages";44;0,431373
"328";"Sydney";"Australia";"ruby";"program_languages";1;0,00980392
"329";"Sydney";"Australia";"saas";"analysis_software";2;0,0196078
"330";"Sydney";"Australia";"sas";"analysis_software";20;0,196078
"331";"Sydney";"Australia";"scala";"program_languages";14;0,137255
"332";"Sydney";"Australia";"spark";"bigdata_tool";16;0,156863
"333";"Sydney";"Australia";"splunk";"analysis_software";1;0,00980392
"334";"Sydney";"Australia";"spss";"analysis_software";2;0,0196078
"335";"Sydney";"Australia";"sql";"databases";38;0,372549
"336";"Sydney";"Australia";"tableau";"analysis_software";16;0,156863
"337";"Toronto, Ontario";"Canada";"bash";"program_languages";1;0,00649351
"338";"Toronto, Ontario";"Canada";"c++";"program_languages";8;0,0519481
"339";"Toronto, Ontario";"Canada";"cassandra";"databases";8;0,0519481
"340";"Toronto, Ontario";"Canada";"d3";"analysis_software";3;0,0194805
"341";"Toronto, Ontario";"Canada";"excel";"analysis_software";7;0,0454545
"342";"Toronto, Ontario";"Canada";"flume";"bigdata_tool";4;0,025974
"343";"Toronto, Ontario";"Canada";"hadoop";"bigdata_tool";23;0,149351
"344";"Toronto, Ontario";"Canada";"hbase";"databases";7;0,0454545
"345";"Toronto, Ontario";"Canada";"hive";"bigdata_tool";13;0,0844156
"346";"Toronto, Ontario";"Canada";"java";"program_languages";21;0,136364
"347";"Toronto, Ontario";"Canada";"javascript";"program_languages";4;0,025974
"348";"Toronto, Ontario";"Canada";"mahout";"bigdata_tool";1;0,00649351
"349";"Toronto, Ontario";"Canada";"matlab";"program_languages";6;0,038961
"350";"Toronto, Ontario";"Canada";"numpy";"analysis_software";1;0,00649351
"351";"Toronto, Ontario";"Canada";"pandas";"analysis_software";2;0,012987
"352";"Toronto, Ontario";"Canada";"perl";"program_languages";3;0,0194805
"353";"Toronto, Ontario";"Canada";"pig";"bigdata_tool";8;0,0519481
"354";"Toronto, Ontario";"Canada";"python";"program_languages";32;0,207792
"355";"Toronto, Ontario";"Canada";"r";"program_languages";33;0,214286
"356";"Toronto, Ontario";"Canada";"rdbms";"databases";4;0,025974
"357";"Toronto, Ontario";"Canada";"ruby";"program_languages";2;0,012987
"358";"Toronto, Ontario";"Canada";"sas";"analysis_software";13;0,0844156
"359";"Toronto, Ontario";"Canada";"scala";"program_languages";20;0,12987
"360";"Toronto, Ontario";"Canada";"spark";"bigdata_tool";25;0,162338
"361";"Toronto, Ontario";"Canada";"spotfire";"analysis_software";1;0,00649351
"362";"Toronto, Ontario";"Canada";"spss";"analysis_software";7;0,0454545
"363";"Toronto, Ontario";"Canada";"sql";"databases";24;0,155844
"364";"Toronto, Ontario";"Canada";"tableau";"analysis_software";9;0,0584416
"365";"Austin, Texas";"US";"bash";"program_languages";5;0,0175439
"366";"Austin, Texas";"US";"c++";"program_languages";33;0,115789
"367";"Austin, Texas";"US";"cassandra";"databases";5;0,0175439
"368";"Austin, Texas";"US";"d3";"analysis_software";24;0,0842105
"369";"Austin, Texas";"US";"excel";"analysis_software";14;0,0491228
"370";"Austin, Texas";"US";"hadoop";"bigdata_tool";25;0,0877193
"371";"Austin, Texas";"US";"hbase";"databases";1;0,00350877
"372";"Austin, Texas";"US";"hive";"bigdata_tool";12;0,0421053
"373";"Austin, Texas";"US";"java";"program_languages";60;0,210526
"374";"Austin, Texas";"US";"javascript";"program_languages";6;0,0210526
"375";"Austin, Texas";"US";"mahout";"bigdata_tool";3;0,0105263
"376";"Austin, Texas";"US";"matlab";"program_languages";19;0,0666667
"377";"Austin, Texas";"US";"nosql";"databases";2;0,00701754
"378";"Austin, Texas";"US";"numpy";"analysis_software";8;0,0280702
"379";"Austin, Texas";"US";"pandas";"analysis_software";7;0,0245614
"380";"Austin, Texas";"US";"perl";"program_languages";6;0,0210526
"381";"Austin, Texas";"US";"php";"program_languages";30;0,105263
"382";"Austin, Texas";"US";"pig";"bigdata_tool";2;0,00701754
"383";"Austin, Texas";"US";"python";"program_languages";90;0,315789
"384";"Austin, Texas";"US";"r";"program_languages";57;0,2
"385";"Austin, Texas";"US";"rdbms";"databases";1;0,00350877
"386";"Austin, Texas";"US";"ruby";"program_languages";5;0,0175439
"387";"Austin, Texas";"US";"sas";"analysis_software";33;0,115789
"388";"Austin, Texas";"US";"scala";"program_languages";3;0,0105263
"389";"Austin, Texas";"US";"scipy";"analysis_software";4;0,0140351
"390";"Austin, Texas";"US";"spark";"bigdata_tool";17;0,0596491
"391";"Austin, Texas";"US";"splunk";"analysis_software";10;0,0350877
"392";"Austin, Texas";"US";"spss";"analysis_software";5;0,0175439
"393";"Austin, Texas";"US";"sql";"databases";54;0,189474
"394";"Austin, Texas";"US";"tableau";"analysis_software";12;0,0421053
"395";"Chicago, Illinois";"US";"bash";"program_languages";6;0,0075188
"396";"Chicago, Illinois";"US";"c++";"program_languages";146;0,182957
"397";"Chicago, Illinois";"US";"cassandra";"databases";12;0,0150376
"398";"Chicago, Illinois";"US";"d3";"analysis_software";11;0,0137845
"399";"Chicago, Illinois";"US";"excel";"analysis_software";142;0,177945
"400";"Chicago, Illinois";"US";"flume";"bigdata_tool";4;0,00501253
"401";"Chicago, Illinois";"US";"hadoop";"bigdata_tool";218;0,273183
"402";"Chicago, Illinois";"US";"hbase";"databases";15;0,018797
"403";"Chicago, Illinois";"US";"hive";"bigdata_tool";30;0,037594
"404";"Chicago, Illinois";"US";"java";"program_languages";302;0,378446
"405";"Chicago, Illinois";"US";"javascript";"program_languages";23;0,0288221
"406";"Chicago, Illinois";"US";"mahout";"bigdata_tool";14;0,0175439
"407";"Chicago, Illinois";"US";"mapreduce";"bigdata_tool";1;0,00125313
"408";"Chicago, Illinois";"US";"matlab";"program_languages";111;0,139098
"409";"Chicago, Illinois";"US";"mssql";"databases";1;0,00125313
"410";"Chicago, Illinois";"US";"mysql";"databases";2;0,00250627
"411";"Chicago, Illinois";"US";"nosql";"databases";1;0,00125313
"412";"Chicago, Illinois";"US";"numpy";"analysis_software";21;0,0263158
"413";"Chicago, Illinois";"US";"oozie";"bigdata_tool";6;0,0075188
"414";"Chicago, Illinois";"US";"pandas";"analysis_software";29;0,0363409
"415";"Chicago, Illinois";"US";"perl";"program_languages";134;0,16792
"416";"Chicago, Illinois";"US";"php";"program_languages";10;0,0125313
"417";"Chicago, Illinois";"US";"pig";"bigdata_tool";23;0,0288221
